artist,title,proficiency,link,lyrics_link,chords_link
3 Door Down,Kryptonite,☆☆☆☆☆,https://www.youtube.com/watch?v=xPU8OAjjS4k,https://www.google.com/search?q=Kryptonite+3+Door+Down+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Kryptonite+3+Door+Down
About a girl,Nirvana,★☆☆☆☆,https://www.youtube.com/watch?v=AhcttcXcRYY,https://www.google.com/search?q=Nirvana+About+a+girl+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Nirvana+About+a+girl+chords
Ben Folds Five,Song For The Dumped,☆☆☆☆☆,https://www.youtube.com/watch?v=XVk_e31dnlE,https://www.google.com/search?q=Song+For+The+Dumped+Ben+Folds+Five+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Song+For+The+Dumped+Ben+Folds+Five+chords
Ben Folds Five,Battle Of Who Could Care Less,☆☆☆☆☆,https://www.youtube.com/watch?v=0Y1wm7CFRCQ,https://www.google.com/search?q=Battle+Of+Who+Could+Care+Less+Ben+Folds+Five+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Battle+Of+Who+Could+Care+Less+Ben+Folds+Five+chords
Better Than Ezra,Good,☆☆☆☆☆,https://www.youtube.com/watch?v=Zhs0JD6XJyQ,https://www.google.com/search?q=Good+Better+Than+Ezra+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Good+Better+Than+Ezra+chords
Bloodhound Gang,The Roof Is On Fire,☆☆☆☆☆,https://www.youtube.com/watch?v=Adgx9wt63NY,https://www.google.com/search?q=The+Roof+Is+On+Fire+Bloodhound+Gang+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=The+Roof+Is+On+Fire+Bloodhound+Gang+chords
Bloodhound Gang,Firewater Burn,☆☆☆☆☆,https://www.youtube.com/watch?v=Adgx9wt63NY,https://www.google.com/search?q=Firewater+Burn+Bloodhound+Gang+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Firewater+Burn+Bloodhound+Gang+chords
Blues Traveller,Hook,☆☆☆☆☆,https://www.youtube.com/watch?v=pdz5kCaCRFM,https://www.google.com/search?q=Hook+Blues+Traveller+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Hook+Blues+Traveller+chords
Britney Spears,Toxic,☆☆☆☆☆,https://www.youtube.com/watch?v=LOZuxwVk7TU,https://www.google.com/search?q=Toxic+Britney+Spears+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Toxic+Britney+Spears+chords
Britney Spears,Baby One More Time,☆☆☆☆☆,https://www.youtube.com/watch?v=C-u5WLJ9Yk4,https://www.google.com/search?q=Baby+One+More+Time+Britney+Spears+lyrics,https://www.ultimate-guitar.com/search.php?search_type=title&value=Baby+One+More+Time+Britney+Spears+chords
